date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:32	41310/41310	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/form-elements.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/form-elements.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:33	31458/31458	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:22%20GMT	https://colorlib.com/polygon/concept/pages/form-validation.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/form-validation.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:33	23403/23403	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:25%20GMT	https://colorlib.com/polygon/concept/pages/multiselect.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/multiselect.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:33	21693/21693	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/general-table.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/general-table.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:33	60834/60834	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/data-tables.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/data-tables.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:34	20855/20855	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/invoice.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/invoice.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:34	17222/17222	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/blank-page.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/blank-page.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:34	17902/17902	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/blank-page-header.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/blank-page-header.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:34	2698/2698	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:27%20GMT	https://colorlib.com/polygon/concept/pages/login.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/login.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:34	2650/2650	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:27%20GMT	https://colorlib.com/polygon/concept/pages/404-page.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/404-page.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:35	2970/2970	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/sign-up.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/sign-up.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
16:40:35	2348/2348	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:23%20GMT	https://colorlib.com/polygon/concept/pages/forgot-password.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/forgot-password.html	(from https://colorlib.com/polygon/concept/pages/chart-c3.html?fbclid=IwAR1KO2SKV6PaG5xzK3QKrHMczujpRS4MK8IOavAIX2xalIZPCf5ug2pkZhs)
